id,url,html_url,author_id,comments_disabled,draft,promoted,position,vote_sum,vote_count,section_id,created_at,updated_at,name,title,source_locale,locale,outdated,outdated_locales,edited_at,user_segment_id,permission_group_id,content_tag_ids,label_names,body,user_segment_ids
23699429949841,https://amboss.zendesk.com/api/v2/help_center/en-us/articles/23699429949841.json,https://support.amboss.com/hc/en-us/articles/23699429949841-NEJM-Knowledge-and-AMBOSS,403291139191,True,False,False,0,3,3,15173728730769,2024-03-28T12:12:18Z,2024-05-29T15:15:11Z,NEJM Knowledge+ and AMBOSS,NEJM Knowledge+ and AMBOSS,en-us,en-us,False,[],2024-05-29T15:15:07Z,,997491,[],[],"<p class=""wysiwyg-text-align-left""><img src=""https://support.amboss.com/hc/article_attachments/24223015934353"" alt=""nejm_knowledgePlusID_RGB.svg"" width=""120"" height=""50""><br>The <strong><a href=""https://www.nejm.org/"" target=""_blank"" rel=""noopener noreferrer"">New England Journal of Medicine</a> </strong>launched NEJM Knowledge+ in 2014  to help clinicians enhance and expand their clinical expertise, fulfill necessary CME requirements, and approach certification and recertification exams with confidence. NEJM Knowledge+ offered Internal Medicine, Family Medicine, and Pediatrics board review prep.</p>
<p>NEJM Knowledge+ questions will now be available on the AMBOSS platform! You can access these questions by creating a new <a href=""https://next.amboss.com/us/customsession"" target=""_blank"" rel=""noopener noreferrer""><strong>Custom Session</strong></a> within our Qbank, and filtering by Exam &gt; NEJM Knowledge+ Specialty Board Exams. Alternatively, go to <strong><a href=""https://next.amboss.com/us/courses/"">Study Plans</a> </strong>and head to the <strong><em>NEJM Knowledge+ Board Exams</em></strong> tab to access the questions conveniently organized by content area.</p>
<p>For in-depth instructions on how to create a Custom Qbank session, please check out this <strong><a href=""https://support.amboss.com/hc/en-us/articles/360032477132"" target=""_blank"" rel=""noopener noreferrer"">article</a></strong>. </p>
<p>As an AMBOSS member, you will now have access to all NEJM Knowledge+ Board Prep questions for Internal Medicine, Family Medicine, and Pediatrics, along with the comprehensive suite of AMBOSS clinical tools. These features include <strong><a href=""https://support.amboss.com/hc/en-us/articles/6203585104276"" target=""_blank"" rel=""noopener noreferrer"">Management Checklists</a></strong>, <a href=""https://support.amboss.com/hc/en-us/articles/4542048524308"" target=""_blank"" rel=""noopener noreferrer""><strong>Differential Diagnosis</strong></a>, <a href=""https://support.amboss.com/hc/en-us/articles/4410493072660"" target=""_blank"" rel=""noopener noreferrer""><strong>Clinical Drug Database &amp; Dosing</strong></a>, and <a href=""https://support.amboss.com/hc/en-us/articles/6204057842836"" target=""_blank"" rel=""noopener noreferrer""><strong>Clinical Calculators</strong></a>. All of these features and more will be available on the desktop version of AMBOSS <strong><a href=""https://www.amboss.com/us/account/login"" target=""_blank"" rel=""noopener noreferrer"">here</a></strong>, as well as our mobile apps which can be downloaded via this<strong> <a href=""https://www.amboss.com/us/mobile-app"" target=""_blank"" rel=""noopener noreferrer"">link</a></strong>. </p>
<p>If you have any questions, <span style=""box-sizing: border-box; color: #3d4a54; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; font-family: -apple-system, ' system-ui' , ' Segoe UI' , Helvetica, Arial, sans-serif; background-color: #ffffff; float: none; display: inline !important;"">p</span><span style=""box-sizing: border-box; color: #3d4a54; font-family: Lato, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; background-color: #ffffff; float: none; display: inline !important;"">lease feel free to contact the<span style=""box-sizing: border-box;""> </span></span><strong style=""box-sizing: border-box; font-weight: bold; color: #3d4a54; font-family: Lato, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; background-color: #ffffff;""><a style=""box-sizing: border-box; background-color: transparent; transition: all 0.3s ease 0s; color: #0aa6b8; text-decoration: underline; display: inline-block;"" href=""https://support.amboss.com/hc/en-us/articles/4405038645140-Contacting-AMBOSS-Support"">AMBOSS Support</a></strong><span style=""box-sizing: border-box; color: #3d4a54; font-family: Lato, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; background-color: #ffffff; float: none; display: inline !important;""><span style=""box-sizing: border-box;""> </span></span>or by emailing us at <a href=""mailto:knowledgeplus@amboss.com""><strong>knowledgeplus@amboss.com.</strong> </a></p>
<p>Please note that the Pain Management &amp; Opioids Module is managed by NEJM Group. If you have any questions about this specific module, please reach out to <strong><a href=""mailto:knowledgeplussupport@nejm.org"">knowledgeplussupport@nejm.org</a></strong>.</p>",[]
16195168657809,https://amboss.zendesk.com/api/v2/help_center/en-us/articles/16195168657809.json,https://support.amboss.com/hc/en-us/articles/16195168657809--Virtual-AMBOSS-Assistant-Beta,380858881411,True,False,False,0,-11,33,360011044451,2023-06-15T14:45:07Z,2024-05-14T18:58:27Z,🤖 Virtual AMBOSS Assistant (Beta),🤖 Virtual AMBOSS Assistant (Beta),en-us,en-us,False,[],2024-05-14T18:58:22Z,,997471,[],[],"<p>To provide you with even better support regarding your questions around AMBOSS, we're currently testing an <strong>AI-powered</strong> software. You can interact with the virtual AMBOSS assistant through the chat window below <strong>24/7</strong>! </p>
<p><strong>PLEASE NOTE:</strong> The virtual AMBOSS assistant is currently still learning and its answers might not be 100% correct. In case you have follow-up questions or your request is not solved, you can always <strong><a href=""https://support.amboss.com/hc/en-us/articles/4405038645140"" target=""_self"">reach out</a> </strong>to us personally. Also keep in mind that the software does <strong>not</strong> have access to our internal systems or any <strong>account related data</strong>, hence it<strong> can't</strong> give you any information on your current licence or subscription status. </p>
<div style=""display: flex; flex-direction: column; flex-wrap: wrap; align-content: center; align-items: center;""><iframe id=""iframe"" style=""display: block; margin: 0; padding: 0; border: 0; border-radius: 0.5em; width: 75vw; position: relative; height: 650px;"" title=""WiselyDesk AMBOSS"" src=""https://apps.wiselydesk.com/chat/amboss?client_api_key=2JcUUnHpgW5PAObuSmSGCsCRgW3Hhqg5yiznEZnAzzY&amp;create_support_ticket=true&amp;inline_sources=true"" height=""650"">
</iframe></div>
<p>
<script>
let attemptCount = 0;
const intervalId = setInterval(function() {
    const iframes = document.querySelectorAll('.article-body iframe');    
    iframes.forEach(iframe => {
        const wrapper = iframe.parentNode;
        if (wrapper.classList.contains('iframe-wrapper')) {
            wrapper.parentNode.replaceChild(iframe, wrapper);
        }
    });

    // Increment the attempt count
    attemptCount++;

    // If we've attempted 10 times, clear the interval
    if (attemptCount >= 10) {
        clearInterval(intervalId);
    }
}, 300);  // Every 3 seconds
  </script>
</p>",[]
15744010801169,https://amboss.zendesk.com/api/v2/help_center/en-us/articles/15744010801169.json,https://support.amboss.com/hc/en-us/articles/15744010801169-Program-Overview,380858881411,True,False,False,0,3,5,15173728730769,2023-05-31T11:35:58Z,2024-04-26T13:20:30Z,Program Overview,Program Overview,en-us,en-us,False,[],2024-04-26T13:20:23Z,,997471,[],[],"<p>AMBOSS is accredited by the Accreditation Council for Continuing Medical Education (ACCME®) as a provider of continuing medical education (CME) for physicians. Accreditation in the ACCME System seeks to assure the medical community and the public that AMBOSS delivers education that is relevant to clinicians’ needs, evidence-based, evaluated for its effectiveness, and independent of commercial influence.</p>
<h2 id=""h_01HT04QNZ1JG44V973RMFT4K11"" class=""paragraph"">Mission statement</h2>
<div class=""paragraph"">
<p class=""condensed-hidden paragraph"">The mission of the AMBOSS CME program is to provide clinicians with updated, evidence-based, clinically relevant information on a wide range of diseases and conditions in a concise and accessible format optimized to support learning and clinical decision-making. The expected results of the program are an increase in clinical competence and an improvement in the clinical performance of participants.</p>
<h2 id=""h_01HT04QNZ2B5MS88H6NNSN8CS1"" class=""condensed-hidden paragraph"">Activity types</h2>
<ul>
<li><strong><a href=""https://support.amboss.com/hc/en-us/articles/23670009661713"">Internet Point-of-Care (Internet Searching and Learning) CME</a> </strong></li>
<li>Enduring material activities
<ul>
<li><a href=""https://support.amboss.com/hc/en-us/articles/23670243369617""><strong>NEJM Knowledge+ Family Medicine Board Review CME</strong></a></li>
<li><a href=""https://support.amboss.com/hc/en-us/articles/23670195542161""><strong>NEJM Knowledge+ Internal Medicine Board Review CME</strong></a></li>
<li><a href=""https://support.amboss.com/hc/en-us/articles/23670251202577""><strong>NEJM Knowledge+ Pediatrics Board Review CME</strong></a></li>
</ul>
</li>
</ul>
<p><span class=""wichtig"">For questions or feedback related to the <span id=""Le6afc1614cf3c425cea35184961ccf4b"" class=""api dictionary"" data-phrasegroup-id=""d4coRc0"" data-type=""bonus"" data-content=""PHA+QSBjb21wcmVoZW5zaXZlLCBpbnRlcmFjdGl2ZSBRQmFuayBhbmQgbGlicmFyeSBvZiBoaWdoLXlpZWxkIGNvbnRlbnQgZGV2ZWxvcGVkIHZpYSBhIHJpZ29yb3VzIGludGVybmFsIHBlZXItcmV2aWV3ZWQgcHJvdG9jb2wgYnkgb3ZlciA1MCBwaHlzaWNpYW5zIHdobyBoYXZlIHNjb3JlZCBpbiB0aGUgdG9wIHBlcmNlbnRpbGVzIG9uIHRoZWlyIFVTTUxFwq4gZXhhbXMsIGluIGNvbGxhYm9yYXRpb24gd2l0aCBtZWRpY2FsIHN0dWRlbnRzLCBlZHVjYXRvcnMsIGFuZCBmb3JtZXIgTkJNRcKuIHF1ZXN0aW9uIGF1dGhvcnMuPC9wPg=="" data-source=""Le6afc1614cf3c425cea35184961ccf4b"">AMBOSS</span> CME program, please email us at <strong><a href=""mailto:hello@amboss.com"">hello@amboss.com</a></strong>.</span></p>
</div>",[]
12850089422996,https://amboss.zendesk.com/api/v2/help_center/en-us/articles/12850089422996.json,https://support.amboss.com/hc/en-us/articles/12850089422996-Access-to-Anki-Mobile-Support-Beta,380858881411,True,False,False,0,-14,14,12884133226388,2023-02-01T13:49:56Z,2024-04-29T15:14:04Z,Access to Anki Mobile Support (Beta),Access to Anki Mobile Support (Beta),en-us,en-us,False,[],2023-10-05T14:50:48Z,,997471,[],[],"<p><strong>Anki Mobile Support (Beta)</strong> has been rolled out <span style=""font-weight: 400;"">to all users of the AMBOSS Add-on for Anki. If the AMBOSS Add-on is installed on your computer and you are logged into the add-on with your AMBOSS account</span><span style=""font-weight: 400;"">, you should have automatically received an <strong>update notification</strong></span><span style=""font-weight: 400;""> with instructions for enabling mobile support in your settings.</span></p>
<h2 id=""h_01HC04T0H0XMXYMA3QG2CE3YAZ"">If the update notification is not presented to you, please follow these steps:</h2>
<ul>
<li><span style=""font-weight: 400;"">Go to AMBOSS → Settings</span></li>
<li><span style=""font-weight: 400;"">Check the check mark under “Enable Mobile Support (Beta)""</span></li>
<li><span style=""font-weight: 400;"">Confirm by clicking ""Save""</span></li>
<li><span style=""font-weight: 400;"">Sync your devices to see changes on mobile</span></li>
</ul>
<p><span style=""font-weight: 400;""><img src=""https://support.amboss.com/hc/article_attachments/19138222621073"" width=""328"" height=""246""></span></p>
<p><span style=""font-weight: 400;"">If you have not installed the Anki mobile app on your device yet, you can download it via the links provided for<strong> iOS (<a href=""https://apps.apple.com/us/app/ankimobile-flashcards/id373493387"" target=""_blank"" rel=""noopener noreferrer"">AnkiMobile app</a>)</strong> and <strong>Android (<a href=""https://play.google.com/store/apps/details?id=com.ichi2.anki&amp;hl=en&amp;gl=US"" target=""_blank"" rel=""noopener noreferrer"">AnkiDroid app</a>)</strong>. For an optimal experience, we highly recommend keeping your system and apps updated.</span></p>
<p><span style=""font-weight: 400;"">Please also note that in order to enable the AMBOSS pop-up explanations on mobile, you need </span><span style=""font-weight: 400;"">an <a href=""https://ankiweb.net/account/register"" target=""_blank"" rel=""noopener noreferrer""><strong>AnkiWeb account</strong></a> to sync the desktop version of Anki with your mobile devices as well as an</span><span style=""font-weight: 400;""><strong> AMBOSS account</strong> with <strong>active access</strong>. </span></p>
<p><span style=""font-weight: 400;"">You can create your AMBOSS account and</span><span style=""font-weight: 400;""> activate your 5-day-free trial<strong> <a href=""https://next.amboss.com/us/registration"" target=""_blank"" rel=""noopener noreferrer"">here</a></strong>!</span></p>",[]
12691272974868,https://amboss.zendesk.com/api/v2/help_center/en-us/articles/12691272974868.json,https://support.amboss.com/hc/en-us/articles/12691272974868-Persistent-Filters,380858881411,True,False,False,0,3,3,4424528440980,2023-01-26T12:59:53Z,2024-04-26T16:19:24Z,Persistent Filters,Persistent Filters,en-us,en-us,False,[],2023-10-06T13:39:25Z,,997471,[],[],"<div class=""p-rich_text_section"">Creating a <strong><a href=""https://support.amboss.com/hc/en-us/articles/360032477132"" target=""_self"">Custom Qbank session</a></strong> allows you to set <strong>persistent filters</strong>, meaning you will not have to re-select your session criteria for every new custom session.</div>
<div class=""p-rich_text_section""> </div>
<div class=""p-rich_text_section"">When accessing the <strong><a href=""https://next.amboss.com/us/customsession"" target=""_blank"" rel=""noopener noreferrer"">custom session creation</a> </strong>page from the <strong>AMBOSS sidebar,</strong> your chosen filter settings will be saved for all new custom sessions until you revert or overwrite them by setting new filters.  <span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Helvetica, Arial, sans-serif;"">Please note that for each new custom session, the ""Exam"" field is pre-set based on your <strong>study objective,</strong> and changing your study objective will revert any saved filters. Additionally, the question ""Status"" is pre-set to ""Not yet answered,"" and t</span><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Helvetica, Arial, sans-serif;"">he number of questions in the session will be set to 40 by default. </span>
</div>
<div class=""p-rich_text_section""> </div>
<div class=""p-rich_text_section"">Persistent filters will <strong>not</strong> be applied for question sessions created from within <strong>library articles</strong>. Any filters set using the ""Refine"" button when creating a Qbank session from an article are not saved and are applied to the current session only.</div>",[]
12457713436308,https://amboss.zendesk.com/api/v2/help_center/en-us/articles/12457713436308.json,https://support.amboss.com/hc/en-us/articles/12457713436308-Knowledge-App,403291139191,True,False,False,0,0,0,12457972471572,2023-01-18T14:37:03Z,2023-10-05T14:39:56Z,Knowledge App,Knowledge App,en-us,en-us,False,[],2023-10-05T14:39:48Z,,997471,"['01HB94X4QZQ17RF79PCHP52RC4', '01HB94XBRP9Z0G0AXA9GWBVKHY']",[],"<p>AMBOSS offers a Knowledge App so that you can access the entirety of the Knowledge Library on-the-go. The app is included if you have active access to the platform (either through our own subscription or a Campus License) at no additional cost. </p>
<p>You can download our Knowledge app for iOS <a href=""https://apps.apple.com/us/developer/amboss/id918156225"" target=""_blank"" rel=""noopener noreferrer""><strong> here </strong></a> or for Android  <a href=""https://play.google.com/store/apps/dev?id=4625183785353372765"" target=""_blank"" rel=""noopener noreferrer""><strong>here</strong></a>! Please note that at this time, development for other operating systems (e.g. Windows) is not planned.</p>
<p>You can find helpful tips and tricks for how to use our Knowledge App within the app by going to <strong>Settings </strong>selecting <strong>Help Center </strong>under the Support section. </p>
<p>Preview of the AMBOSS Help Center within the Knowledge App:<img src=""https://support.amboss.com/hc/article_attachments/19137935152145"" width=""391"" height=""659""></p>",[]
11783540896148,https://amboss.zendesk.com/api/v2/help_center/en-us/articles/11783540896148.json,https://support.amboss.com/hc/en-us/articles/11783540896148--Emergency-Kit-for-the-Holidays,403291139191,True,False,False,0,0,0,360011044551,2022-12-21T20:30:09Z,2024-04-08T12:28:16Z,🚑 Emergency Kit for the Holidays,🚑 Emergency Kit for the Holidays,en-us,en-us,False,[],2024-04-08T12:28:13Z,,997471,[],"['error', 'technical', 'troubleshooting', 'holiday', 'error 500', 'issue', 'contact', 'support']","<p><font>For whenever AMBOSS </font><font>Support is not available, </font>we <font>have provided</font><font> comprehensive <strong>troubleshooting steps</strong> below that you can follow in case you are unable to use AMBOSS due to access or technical issues:</font></p>
<h2 id=""h_01HHMP00S8ZG8YMSFK36B5FB4E""><span class=""wysiwyg-underline""><font>1. Login does not work:</font></span></h2>
<p><font>If you cannot log into your AMBOSS account, go through the following points:</font></p>
<ul>
<li><font>Have you entered your login data correctly? Also note any spaces here.</font></li>
<li><font>Do you have multiple AMBOSS accounts? Please test the login with other e-mail addresses/passwords.</font></li>
<li>
<font>If your login details are not recognized, please try to </font><strong><a href=""https://next.amboss.com/de/forgotpassword"" target=""_blank"" rel=""noopener noreferrer"">reset your password</a></strong><font>- if you do not receive the requested email, please also check your spam folder. Please also note that the link sent is </font><strong><font>valid for 24 hours </font></strong><font>and will be automatically deactivated if you request it again. Once you have reset password, confirm it by clicking ""Save"" - ​​the successful change will be confirmed to you via email.</font>
</li>
<li>
<font>Are you trying to log in to the <strong>German AMBOSS</strong></font><strong><font> platform</font></strong><font>? You can easily recognize this by the language on the login page (German vs. English – you can login </font><strong><a href=""https://www.amboss.com/us/account/login"" target=""_blank"" rel=""noopener noreferrer"">here</a></strong>to access the English AMBOSS platform).</li>
</ul>
<h2 id=""h_01HHMP00S827F3KNHE0AFN3BN0""><span class=""wysiwyg-underline""><font>2. AMBOSS access blocked:</font></span></h2>
<p><font>If you log into your AMBOSS account but cannot access the AMBOSS content, please check the following:</font></p>
<ul>
<li>
<font>In the </font><strong><font>browser </font></strong><font>version of AMBOSS, go to </font><strong><font>Account &amp; settings &gt; Membership &amp; Licenses </font></strong><font>to check whether you have active access on your<strong> <a href=""https://next.amboss.com/us/access-overview"" target=""_blank"" rel=""noopener noreferrer"">account</a></strong>. If this section page says ""Become member,"" you currently <strong>do not</strong> have access. </font>
</li>
<li><font>If you have purchased access, but it is not displayed in your account, it could be that you have several AMBOSS accounts and are logging into an account without a valid access. Therefore, try logging in via your other email address. </font></li>
<li><font>If you cannot access our Qbank, you may have reached your question limit, but you can easily upgrade your access to <strong><a href=""https://support.amboss.com/hc/en-us/articles/360044685531"" target=""_self"" rel=""undefined"">unlimited questions</a></strong>.</font></li>
</ul>
<h2 id=""h_01HHMP00S8WV44BFVG48HYE5R3""><span class=""wysiwyg-underline""><font>3. Technical problem:</font></span></h2>
<ul>
<li>
<font>If you encounter technical difficulties when using the desktop version of AMBOSS, please follow the instructions <strong><a href=""https://support.amboss.com/hc/en-us/articles/10689243808276"" target=""_blank"" rel=""noopener noreferrer"">here.</a></strong> </font><font>It is important to check whether the difficulties occur independently of devices/browsers.</font>
</li>
<li>
<font>On the </font><strong><a href=""https://status.amboss.com/#"" target=""_blank"" rel=""noopener noreferrer"">AMBOSS status page</a> </strong><font>you can check if there are general technical problems, such as a server down.</font>
</li>
<li>
<font>If you encounter technical difficulties when using our apps, please try the following troubleshooting steps: </font>
<ul>
<li>
<p>Log out and back in to the app (with the correct login)</p>
</li>
<li>
<p>Close and restart the app</p>
</li>
<li>
<p>Clear the app cache (via device settings)</p>
</li>
<li>
<p>Uninstall and reinstall the app (App Store/Google Play Store)</p>
</li>
<li>
<p>Restart your device</p>
</li>
<li>
<p>Update your mobile operating system</p>
</li>
<li>
<p>Switch to another network (mobile data/WiFi)</p>
</li>
</ul>
</li>
</ul>",[]
11565356800020,https://amboss.zendesk.com/api/v2/help_center/en-us/articles/11565356800020.json,https://support.amboss.com/hc/en-us/articles/11565356800020-In-App-Messaging,380858881411,True,False,False,0,0,0,7429677518228,2022-12-13T12:31:25Z,2022-12-13T12:33:10Z,In-App Messaging,In-App Messaging,en-us,en-us,False,[],2022-12-13T12:31:28Z,,997471,[],['Android-whitelist'],"<p>You can contact the AMBOSS Support Team straight from the <strong>AMBOSS apps for Android</strong> with the built-in<strong> messaging option</strong> in the bottom right corner.</p>
<p>This is especially helpful, if you have<strong> technical issues</strong> as your message will automatically provide us with information that is often useful for our staff to identify possible error sources.</p>",[]
11359973027476,https://amboss.zendesk.com/api/v2/help_center/en-us/articles/11359973027476.json,https://support.amboss.com/hc/en-us/articles/11359973027476-In-App-Messaging,380858881411,True,False,False,0,0,0,7429613295124,2022-12-05T16:06:00Z,2022-12-06T07:49:43Z,In-App Messaging,In-App Messaging,en-us,en-us,False,[],2022-12-05T16:09:04Z,,997471,[],['iOS-whitelist'],"<p>You can contact the AMBOSS Support Team straight from the AMBOSS apps for iOS with the built-in<strong> messaging option</strong> in the top right corner.</p>
<p>This is especially helpful, if you have<strong> technical issues</strong> as your message will automatically provide us with information that is often useful for our staff to identify possible error sources. </p>",[]
10689243808276,https://amboss.zendesk.com/api/v2/help_center/en-us/articles/10689243808276.json,https://support.amboss.com/hc/en-us/articles/10689243808276-AMBOSS-Status,403291139191,True,False,False,0,-20,30,360011044551,2022-11-08T20:20:28Z,2024-05-21T14:55:31Z,AMBOSS Status,AMBOSS Status,en-us,en-us,False,[],2024-05-21T14:55:27Z,,997471,[],"['error 500', 'Error', 'status']","<p>If you are receiving a 500 error or the platform isn't loading on your desktop, please try the following troubleshooting steps:</p>
<ul>
<li>Clear your browser's cookies and cache</li>
<li>Update your browser to its latest version</li>
<li>Update your operating system to its latest version</li>
<li>If possible, log in to AMBOSS using a different browser (we'd recommend the latest versions of Chrome or Firefox)</li>
<li>Deactivate any ad-blocks you may have</li>
</ul>
<p>If the above steps do not resolve the issue, please <a href=""https://status.amboss.com/"" target=""_blank"" rel=""noopener""><strong>click here </strong></a> to see if the AMBOSS platform is down! If this is the case, rest assured that our developers are actively working on a fix. Additionally, <span style=""box-sizing: border-box; color: #3d4a54; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; font-family: -apple-system, ' system-ui' , ' Segoe UI' , Helvetica, Arial, sans-serif; background-color: #ffffff; float: none; display: inline !important;"">p</span><span style=""box-sizing: border-box; color: #3d4a54; font-family: Lato, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; background-color: #ffffff; float: none; display: inline !important;"">lease feel free to contact the<span style=""box-sizing: border-box;""> </span></span><strong style=""box-sizing: border-box; font-weight: bold; color: #3d4a54; font-family: Lato, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; background-color: #ffffff;""><a style=""box-sizing: border-box; background-color: transparent; transition: all 0.3s ease 0s; color: #0aa6b8; text-decoration: underline; display: inline-block;"" href=""https://support.amboss.com/hc/en-us/articles/4405038645140-Contacting-AMBOSS-Support"">AMBOSS Support</a></strong><span style=""box-sizing: border-box; color: #3d4a54; font-family: Lato, sans-serif; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; background-color: #ffffff; float: none; display: inline !important;""><span style=""box-sizing: border-box;""> </span>or leave us a message<span> </span><strong style=""box-sizing: border-box; font-weight: bold;""><a style=""box-sizing: border-box; background-color: transparent; transition: all 0.3s ease 0s; color: #0aa6b8; text-decoration: underline; display: inline-block;"" href=""https://support.amboss.com/hc/en-us/requests/new"">here</a> </strong></span>for updates! </p>",[]
